id,label,title,color,size,type,in_degree,out_degree
tests/coruja/htmlcov/z_371f06e61b6c1f25_test_sanitizer_py.html,z_371f06e61b6c1f25_test_sanitizer_py.html,tests/coruja/htmlcov/z_371f06e61b6c1f25_test_sanitizer_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_371f06e61b6c1f25___init___py.html,z_371f06e61b6c1f25___init___py.html,tests/coruja/htmlcov/z_371f06e61b6c1f25___init___py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_377941aee4afd535_conftest_py.html,z_377941aee4afd535_conftest_py.html,tests/coruja/htmlcov/z_377941aee4afd535_conftest_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_377941aee4afd535_test_atlas_core_py.html,z_377941aee4afd535_test_atlas_core_py.html,tests/coruja/htmlcov/z_377941aee4afd535_test_atlas_core_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_377941aee4afd535_test_atlas_service_py.html,z_377941aee4afd535_test_atlas_service_py.html,tests/coruja/htmlcov/z_377941aee4afd535_test_atlas_service_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_377941aee4afd535_test_cartographer_py.html,z_377941aee4afd535_test_cartographer_py.html,tests/coruja/htmlcov/z_377941aee4afd535_test_cartographer_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_377941aee4afd535___init___py.html,z_377941aee4afd535___init___py.html,tests/coruja/htmlcov/z_377941aee4afd535___init___py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_3aaceee9d170651d___init___py.html,z_3aaceee9d170651d___init___py.html,tests/coruja/htmlcov/z_3aaceee9d170651d___init___py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_3df6525a9511f7c6_basic_ethik_checker_py.html,z_3df6525a9511f7c6_basic_ethik_checker_py.html,tests/coruja/htmlcov/z_3df6525a9511f7c6_basic_ethik_checker_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_3df6525a9511f7c6_dummy_ethik_checker_py.html,z_3df6525a9511f7c6_dummy_ethik_checker_py.html,tests/coruja/htmlcov/z_3df6525a9511f7c6_dummy_ethik_checker_py.html,#1f77b4,10,html,0,0
tests/coruja/htmlcov/z_3df6525a9511f7c6_rule_engine_py.html,z_3df6525a9511f7c6_rule_engine_py.html,tests/coruja/htmlcov/z_3df6525a9511f7c6_rule_engine_py.html,#1f77b4,10,html,0,0
